,nt_ref,ot_ref,ot_text
67,Mr 12:31,Le 19:18,"Thou shalt not avenge, nor bear any grudge against the children of thy people, but thou shalt love thy neighbor as thyself: I am the LORD."
68,Mr 12:36,Ps 110:1,"The LORD said unto my Lord, Sit thou at my right hand, until I make thine enemies thy footstool."
69,Mr 14:27,Zec 13:7,"Awake, O sword, against my shepherd, and against the man that is my fellow, saith the LORD of hosts: smite the shepherd, and the sheep shall be scattered: and I will turn mine hand upon the little ones."
70,Mr 15:28,Isa 53:12,"Therefore will I divide him a portion with the great, and he shall divide the spoil with the strong; because he hath poured out his soul unto death: and he was numbered with the transgressors; and he bare the sin of many, and made intercession for the transgressors."
71,Mr 15:34,Ps 22:1,"My God, my God, why hast thou forsaken me? why art thou so far from helping me, and from the words of my roaring?"
72,Lu 1:17,"Mal 4:5,6","Behold, I will send you Elijah the prophet before the coming of the great and dreadful day of the LORD:"
73,Lu 2:23,Ex 13:2,"Sanctify unto me all the firstborn, whatsoever openeth the womb among the children of Israel, both of man and of beast: it is mine."
74,Lu 2:24,Le 12:8,"And if she be not able to bring a lamb, then she shall bring two turtles, or two young pigeons; the one for the burnt offering, and the other for a sin offering: and the priest shall make an atonement for her, and she shall be clean."
75,"Lu 3:4,5,6","Isa 40:3,4,5","The voice of him that crieth in the wilderness, Prepare ye the way of the LORD, make straight in the desert a highway for our God."
76,Lu 4:4,De 8:3,"And he humbled thee, and suffered thee to hunger, and fed thee with manna, which thou knewest not, neither did thy fathers know; that he might make thee know that man doth not live by bread only, but by every word that proceedeth out of the mouth of the LORD doth man live."
77,Lu 4:8,De 6:13,"Thou shalt fear the LORD thy God, and serve him, and shalt swear by his name."
78,Lu 4:8,De 10:20,"Thou shalt fear the LORD thy God; him shalt thou serve, and to him shalt thou cleave, and swear by his name."
79,"Lu 4:10,11","Ps 91:11,12","For he shall give his angels charge over thee, to keep thee in all thy ways."
80,Lu 4:12,De 6:16,"Ye shall not tempt the LORD your God, as ye tempted him in Massah."
81,"Lu 4:18,19","Isa 61:1,2","The Spirit of the Lord GOD is upon me; because the LORD hath anointed me to preach good tidings unto the meek; he hath sent me to bind up the brokenhearted, to proclaim liberty to the captives, and the opening of the prison to them that are bound;"
82,Lu 7:27,Mal 3:1,"Behold, I will send my messenger, and he shall prepare the way before me: and the LORD, whom ye seek, shall suddenly come to his temple, even the messenger of the covenant, whom ye delight in: behold, he shall come, saith the LORD of hosts."
83,Lu 8:10,Isa 6:9,"And he said, Go, and tell this people, Hear ye indeed, but understand not; and see ye indeed, but perceive not."
84,Lu 10:27,De 6:5,"And thou shalt love the LORD thy God with all thine heart, and with all thy soul, and with all thy might."
85,Lu 10:27,Le 19:18,"Thou shalt not avenge, nor bear any grudge against the children of thy people, but thou shalt love thy neighbor as thyself: I am the LORD."
86,Lu 13:27,Ps 6:8,"Depart from me, all ye workers of iniquity; for the LORD hath heard the voice of my weeping."
87,Lu 18:20,Ex 20:12-16,Honor thy father and thy mother: that thy days may be long upon the land which the LORD thy God giveth thee.
88,Lu 18:20,De 5:16-20,"Honor thy father and thy mother, as the LORD thy God hath commanded thee; that thy days may be prolonged, and that it may go well with thee, in the land which the LORD thy God giveth thee."
89,Lu 19:46,Isa 56:7,"Even them will I bring to my holy mountain, and make them joyful in my house of prayer: their burnt offerings and their sacrifices shall be accepted upon mine altar; for mine house shall be called an house of prayer for all people."
90,Lu 19:46,Jer 7:11,"Is this house, which is called by my name, become a den of robbers in your eyes? Behold, even I have seen it, saith the LORD."
91,Lu 20:17,"Ps 118:22,23",The stone which the builders refused is become the head stone of the corner.
92,Lu 20:28,De 25:5,"If brethren dwell together, and one of them die, and have no child, the wife of the dead shall not marry without unto a stranger: her husband's brother shall go in unto her, and take her to him to wife, and perform the duty of an husband's brother unto her."
93,"Lu 20:42,43",Ps 110:1,"The LORD said unto my Lord, Sit thou at my right hand, until I make thine enemies thy footstool."
94,Lu 22:37,Isa 53:12,"Therefore will I divide him a portion with the great, and he shall divide the spoil with the strong; because he hath poured out his soul unto death: and he was numbered with the transgressors; and he bare the sin of many, and made intercession for the transgressors."
95,Lu 23:46,Ps 31:5,"Into thine hand I commit my spirit: thou hast redeemed me, O LORD God of truth."
96,Joh 1:23,Isa 40:3,"The voice of him that crieth in the wilderness, Prepare ye the way of the LORD, make straight in the desert a highway for our God."
97,Joh 2:17,Ps 69:9,For the zeal of thine house hath eaten me up; and the reproaches of them that reproached thee are fallen upon me.
98,Joh 6:31,Ps 78:24,"And had rained down manna upon them to eat, and had given them of the corn of heaven."
99,Joh 6:45,Isa 54:13,And all thy children shall be taught of the LORD; and great shall be the peace of thy children.
100,Joh 8:17,De 19:15,"One witness shall not rise up against a man for any iniquity, or for any sin, in any sin that he sinneth: at the mouth of two witnesses, or at the mouth of three witnesses, shall the matter be established."
101,Joh 9:31,Ps 82:6,"I have said, Ye are gods; and all of you are children of the most High."
102,"Joh 12:14,15",Zec 9:9,"Rejoice greatly, O daughter of Zion; shout, O daughter of Jerusalem: behold, thy King cometh unto thee: he is just, and having salvation; lowly, and riding upon an ass, and upon a colt the foal of an ass."
103,Joh 12:38,Isa 53:1,Who hath believed our report? and to whom is the arm of the LORD revealed?
104,Joh 12:40,Isa 6:9,"And he said, Go, and tell this people, Hear ye indeed, but understand not; and see ye indeed, but perceive not."
105,Joh 13:18,Ps 41:9,"Yea, mine own familiar friend, in whom I trusted, which did eat of my bread, hath lifted up his heel against me."
106,Joh 15:25,Ps 69:4,"They that hate me without a cause are more than the hairs of mine head: they that would destroy me, being mine enemies wrongfully, are mighty: then I restored that which I took not away."
107,Joh 15:25,Ps 109:3,They compassed me about also with words of hatred; and fought against me without a cause.
108,Joh 15:25,Ps 35:19,Let not them that are mine enemies wrongfully rejoice over me: neither let them wink with the eye that hate me without a cause.
109,Joh 19:24,Ps 22:19,"But be not thou far from me, O LORD: O my strength, haste thee to help me."
110,Joh 19:36,Ex 12:46,In one house shall it be eaten; thou shalt not carry forth ought of the flesh abroad out of the house; neither shall ye break a bone thereof.
111,Joh 19:36,Ps 34:20,He keepeth all his bones: not one of them is broken.
112,Joh 19:37,Zec 12:10,"And I will pour upon the house of David, and upon the inhabitants of Jerusalem, the spirit of grace and of supplications: and they shall look upon me whom they have pierced, and they shall mourn for him, as one mourneth for his only son, and shall be in bitterness for him, as one that is in bitterness for his firstborn."
113,Ac 1:20,Ps 69:25,Let their habitation be desolate; and let none dwell in their tents.
114,Ac 1:20,Ps 109:8,Let his days be few; and let another take his office.
115,Ac 2:17-21,Joe 2:28-32,"And it shall come to pass afterward, that I will pour out my spirit upon all flesh; and your sons and your daughters shall prophesy, your old men shall dream dreams, your young men shall see visions:"
116,Ac 2:25-28,Ps 16:8-10,"I have set the LORD always before me: because he is at my right hand, I shall not be moved."
117,Ac 2:31,Ps 16:10,For thou wilt not leave my soul in hell; neither wilt thou suffer thine Holy One to see corruption.
118,Ac 2:34,Ps 110:1,"The LORD said unto my Lord, Sit thou at my right hand, until I make thine enemies thy footstool."
119,"Ac 3:22,23","De 18:15,18,19","The LORD thy God will raise up unto thee a Prophet from the midst of thee, of thy brethren, like unto me; unto him ye shall hearken;"
120,Ac 3:25,Ge 22:18,And in thy seed shall all the nations of the earth be blessed; because thou hast obeyed my voice.
121,Ac 4:11,"Ps 118:22,23",The stone which the builders refused is become the head stone of the corner.
122,"Ac 4:25,26","Ps 2:1,2","Why do the heathen rage, and the people imagine a vain thing?"
123,Ac 7:3,Ge 12:1,"Now the LORD had said unto Abram, Get thee out of thy country, and from thy kindred, and from thy father's house, unto a land that I will show thee:"
124,"Ac 7:6,7","Ge 15:13,14","And he said unto Abram, Know of a surety that thy seed shall be a stranger in a land that is not theirs, and shall serve them; and they shall afflict them four hundred years;"
125,Ac 7:26,"Ex 2:13,14","And when he went out the second day, behold, two men of the Hebrews strove together: and he said to him that did the wrong, Wherefore smitest thou thy fellow?"
126,Ac 7:32,Ex 3:6,"Moreover he said, I am the God of thy father, the God of Abraham, the God of Isaac, and the God of Jacob. And Moses hid his face; for he was afraid to look upon God."
127,"Ac 7:33,34","Ex 3:5,7,8,10","And he said, Draw not nigh hither: put off thy shoes from off thy feet, for the place whereon thou standest is holy ground."
128,Ac 7:35,Ex 2:14,"And he said, Who made thee a prince and a judge over us? intendest thou to kill me, as thou killedst the Egyptian? And Moses feared, and said, Surely this thing is known."
129,Ac 7:37,De 18:15,"The LORD thy God will raise up unto thee a Prophet from the midst of thee, of thy brethren, like unto me; unto him ye shall hearken;"
130,Ac 7:40,Ex 32:1,"And when the people saw that Moses delayed to come down out of the mount, the people gathered themselves together unto Aaron, and said unto him, Up, make us gods, which shall go before us; for as for this Moses, the man that brought us up out of the land of Egypt, we wot not what is become of him."
131,"Ac 7:49,50","Isa 66:1,2","Thus saith the LORD, The heaven is my throne, and the earth is my footstool: where is the house that ye build unto me? and where is the place of my rest?"
132,"Ac 8:32,33","Isa 53:7,8","He was oppressed, and he was afflicted, yet he opened not his mouth: he is brought as a lamb to the slaughter, and as a sheep before her shearers is dumb, so he openeth not his mouth."
133,Ac 13:22,1Sa 13:14,"But now thy kingdom shall not continue: the LORD hath sought him a man after his own heart, and the LORD hath commanded him to be captain over his people, because thou hast not kept that which the LORD commanded thee."
134,Ac 13:22,Ps 89:20,I have found David my servant; with my holy oil have I anointed him:
135,Ac 13:33,Ps 2:7,"I will declare the decree: the LORD hath said unto me, Thou art my Son; this day have I begotten thee."
136,Ac 13:34,Ps 55:3,"Because of the voice of the enemy, because of the oppression of the wicked: for they cast iniquity upon me, and in wrath they hate me."
137,Ac 13:35,Ps 16:10,For thou wilt not leave my soul in hell; neither wilt thou suffer thine Holy One to see corruption.
138,Ac 13:41,Hab 1:5,"Behold ye among the heathen, and regard, and wonder marvelously: for I will work a work in your days which ye will not believe, though it be told you."
139,Ac 13:47,Isa 49:6,"And he said, It is a light thing that thou shouldest be my servant to raise up the tribes of Jacob, and to restore the preserved of Israel: I will also give thee for a light to the Gentiles, that thou mayest be my salvation unto the end of the earth."
140,Ac 23:5,Ex 22:28,"Thou shalt not revile the gods, nor curse the ruler of thy people."
141,"Ac 28:26,27","Isa 6:9,10","And he said, Go, and tell this people, Hear ye indeed, but understand not; and see ye indeed, but perceive not."
142,Ro 1:17,Hab 2:4,"Behold, his soul which is lifted up is not upright in him: but the just shall live by his faith."
143,Ro 2:24,Isa 52:5,"Now therefore, what have I here, saith the LORD, that my people is taken away for nought? they that rule over them make them to howl, saith the LORD; and my name continually every day is blasphemed."
144,Ro 2:24,Eze 36:20,"And when they entered unto the heathen, whither they went, they profaned my holy name, when they said to them, These are the people of the LORD, and are gone forth out of his land."
145,Ro 3:4,Ps 116:11,"I said in my haste, All men are liars."
146,Ro 3:4,Ps 51:4,"Against thee, thee only, have I sinned, and done this evil in thy sight: that thou mightest be justified when thou speakest, and be clear when thou judgest."
147,"Ro 3:10,11,12","Ps 14:1,2,3","The fool hath said in his heart, There is no God. They are corrupt, they have done abominable works, there is none that doeth good."
148,"Ro 3:10,11,12","Ps 53:1,2,3","The fool hath said in his heart, There is no God. Corrupt are they, and have done abominable iniquity: there is none that doeth good."
149,Ro 3:13,Ps 5:9,For there is no faithfulness in their mouth; their inward part is very wickedness; their throat is an open sepulchre; they flatter with their tongue.
150,Ro 3:13,Ps 140:3,They have sharpened their tongues like a serpent; adders' poison is under their lips. Selah.
151,Ro 3:14,Ps 10:7,His mouth is full of cursing and deceit and fraud: under his tongue is mischief and vanity.
152,Ro 3:15-18,"Isa 59:7,8","Their feet run to evil, and they make haste to shed innocent blood: their thoughts are thoughts of iniquity; wasting and destruction are in their paths."
153,Ro 3:18,Ps 36:1,"The transgression of the wicked saith within my heart, that there is no fear of God before his eyes."
154,Ro 4:3,Ge 15:6,And he believed in the LORD; and he counted it to him for righteousness.
155,"Ro 4:7,8","Ps 32:1,2","Blessed is he whose transgression is forgiven, whose sin is covered."
156,Ro 4:11,Ge 17:10,"This is my covenant, which ye shall keep, between me and you and thy seed after thee; Every man child among you shall be circumcised."
157,Ro 4:17,Ge 17:5,"Neither shall thy name any more be called Abram, but thy name shall be Abraham; for a father of many nations have I made thee."
158,Ro 4:18,Ge 15:5,"And he brought him forth abroad, and said, Look now toward heaven, and tell the stars, if thou be able to number them: and he said unto him, So shall thy seed be."
159,Ro 7:7,Ex 20:17,"Thou shalt not covet thy neighbor's house, thou shalt not covet thy neighbor's wife, nor his manservant, nor his maidservant, nor his ox, nor his ass, nor any thing that is thy neighbor's."
160,Ro 7:7,De 5:21,"Neither shalt thou desire thy neighbor's wife, neither shalt thou covet thy neighbor's house, his field, or his manservant, or his maidservant, his ox, or his ass, or any thing that is thy neighbor's."
161,Ro 8:36,Ps 44:22,"Yea, for thy sake are we killed all the day long; we are counted as sheep for the slaughter."
162,Ro 9:7,Ge 21:12,"And God said unto Abraham, Let it not be grievous in thy sight because of the lad, and because of thy bondwoman; in all that Sarah hath said unto thee, hearken unto her voice; for in Isaac shall thy seed be called."
163,Ro 9:9,Ge 18:10,"And he said, I will certainly return unto thee according to the time of life; and, lo, Sarah thy wife shall have a son. And Sarah heard it in the tent door, which was behind him."
164,Ro 9:12,Ge 25:23,"And the LORD said unto her, Two nations are in thy womb, and two manner of people shall be separated from thy bowels; and the one people shall be stronger than the other people; and the elder shall serve the younger."
165,Ro 9:13,"Mal 1:2,3","I have loved you, saith the LORD. Yet ye say, Wherein hast thou loved us? Was not Esau Jacob's brother? saith the LORD: yet I loved Jacob,"
166,Ro 9:15,Ex 33:19,"And he said, I will make all my goodness pass before thee, and I will proclaim the name of the LORD before thee; and will be gracious to whom I will be gracious, and will show mercy on whom I will show mercy."
167,Ro 9:17,Ex 9:16,"And in very deed for this cause have I raised thee up, for to show in thee my power; and that my name may be declared throughout all the earth."
168,Ro 9:25,Ho 2:23,"And I will sow her unto me in the earth; and I will have mercy upon her that had not obtained mercy; and I will say to them which were not my people, Thou art my people; and they shall say, Thou art my God."
169,Ro 9:26,Ho 1:10,"Yet the number of the children of Israel shall be as the sand of the sea, which cannot be measured nor numbered; and it shall come to pass, that in the place where it was said unto them, Ye are not my people, there it shall be said unto them, Ye are the sons of the living God."
170,"Ro 9:27,28","Isa 10:22,23","For though thy people Israel be as the sand of the sea, yet a remnant of them shall return: the consumption decreed shall overflow with righteousness."
171,Ro 9:29,Isa 1:9,"Except the LORD of hosts had left unto us a very small remnant, we should have been as Sodom, and we should have been like unto Gomorrah."
172,Ro 9:33,Isa 8:14,"And he shall be for a sanctuary; but for a stone of stumbling and for a rock of offence to both the houses of Israel, for a gin and for a snare to the inhabitants of Jerusalem."
173,Ro 9:33,Isa 28:16,"Therefore thus saith the Lord GOD, Behold, I lay in Zion for a foundation a stone, a tried stone, a precious corner stone, a sure foundation: he that believeth shall not make haste."
174,Ro 10:5,Le 18:5,"Ye shall therefore keep my statutes, and my judgments: which if a man do, he shall live in them: I am the LORD."
175,Ro 10:5,Eze 20:11,"And I gave them my statutes, and shewed them my judgments, which if a man do, he shall even live in them."
176,Ro 10:8,De 30:14,"But the word is very nigh unto thee, in thy mouth, and in thy heart, that thou mayest do it."
177,Ro 10:11,Isa 28:16,"Therefore thus saith the Lord GOD, Behold, I lay in Zion for a foundation a stone, a tried stone, a precious corner stone, a sure foundation: he that believeth shall not make haste."
178,Ro 10:13,Joe 2:32,"And it shall come to pass, that whosoever shall call on the name of the LORD shall be delivered: for in mount Zion and in Jerusalem shall be deliverance, as the LORD hath said, and in the remnant whom the LORD shall call."
179,Ro 10:15,Isa 52:7,"How beautiful upon the mountains are the feet of him that bringeth good tidings, that publisheth peace; that bringeth good tidings of good, that publisheth salvation; that saith unto Zion, Thy God reigneth!"
180,Ro 10:15,Na 1:15,"Behold upon the mountains the feet of him that bringeth good tidings, that publisheth peace! O Judah, keep thy solemn feasts, perform thy vows: for the wicked shall no more pass through thee; he is utterly cut off."
181,Ro 10:16,Isa 53:1,Who hath believed our report? and to whom is the arm of the LORD revealed?
182,Ro 10:18,Ps 19:4,"Their line is gone out through all the earth, and their words to the end of the world. In them hath he set a tabernacle for the sun,"
183,Ro 10:19,De 32:21,They have moved me to jealousy with that which is not God; they have provoked me to anger with their vanities: and I will move them to jealousy with those which are not a people; I will provoke them to anger with a foolish nation.
