,ot_ref,nt_ref,nt_text
176,De 30:14,Ro 10:8,"But what saith it? The word is nigh thee, even in thy mouth, and in thy heart: that is, the word of faith, which we preach;"
284,De 31:8,Heb 13:5,"Let your conversation be without covetousness; and be content with such things as ye have: for he hath said, I will never leave thee, nor forsake thee."
213,De 32:17,1Co 10:20,"But I say, that the things which the Gentiles sacrifice, they sacrifice to devils, and not to God: and I would not that ye should have fellowship with devils."
183,De 32:21,Ro 10:19,"But I say, Did not Israel know? First Moses saith, I will provoke you to jealousy by them that are no people, and by a foolish nation I will anger you."
192,De 32:35,Ro 12:19,"Dearly beloved, avenge not yourselves, but rather give place unto wrath: for it is written, Vengeance is mine; I will repay, saith the Lord."
276,"De 32:35,36",Heb 10:30,"For we know him that hath said, Vengeance belongeth unto me, I will recompense, saith the Lord. And again, The Lord shall judge his people."
200,De 32:43,Ro 15:10,"And again he saith, Rejoice, ye Gentiles, with his people."
285,Jos 1:5,Heb 13:5,"Let your conversation be without covetousness; and be content with such things as ye have: for he hath said, I will never leave thee, nor forsake thee."
133,1Sa 13:14,Ac 13:22,"And when he had removed him, he raised up unto them David to be their king; to whom also he gave their testimony, and said, I have found David the son of Jesse, a man after mine own heart, which shall fulfil all my will."
228,2Sa 7:14,"2Co 6:17,18","Wherefore come out from among them, and be ye separate, saith the Lord, and touch not the unclean thing; and I will receive you."
251,2Sa 7:14,Heb 1:5,"For unto which of the angels said he at any time, Thou art my Son, this day have I begotten thee? And again, I will be to him a Father, and he shall be to me a Son?"
261,2Sa 22:2,Heb 2:13,"And again, I will put my trust in him. And again, Behold I and the children which God hath given me."
185,"1Ki 19:10,14",Ro 11:3,"Lord, they have killed thy prophets, and digged down thine altars; and I am left alone, and they seek my life."
186,1Ki 19:18,Ro 11:4,"But what saith the answer of God unto him? I have reserved to myself seven thousand men, who have not bowed the knee to the image of Baal."
208,Job 5:13,1Co 3:19,"For the wisdom of this world is foolishness with God. For it is written, He taketh the wise in their own craftiness."
122,"Ps 2:1,2","Ac 4:25,26","Who by the mouth of thy servant David hast said, Why did the heathen rage, and the people imagine vain things?"
135,Ps 2:7,Ac 13:33,"God hath fulfilled the same unto us their children, in that he hath raised up Jesus again; as it is also written in the second psalm, Thou art my Son, this day have I begotten thee."
250,Ps 2:7,Heb 1:5,"For unto which of the angels said he at any time, Thou art my Son, this day have I begotten thee? And again, I will be to him a Father, and he shall be to me a Son?"
267,Ps 2:7,Heb 5:5,"So also Christ glorified not himself to be made an high priest; but he that said unto him, Thou art my Son, to day have I begotten thee."
245,Ps 4:4,Eph 4:26,"Be ye angry, and sin not: let not the sun go down upon your wrath:"
149,Ps 5:9,Ro 3:13,Their throat is an open sepulchre; with their tongues they have used deceit; the poison of asps is under their lips:
16,Ps 6:8,Mt 7:23,"And then will I profess unto them, I never knew you: depart from me, ye that work iniquity."
44,Ps 6:8,Mt 25:41,"Then shall he say also unto them on the left hand, Depart from me, ye cursed, into everlasting fire, prepared for the devil and his angels:"
86,Ps 6:8,Lu 13:27,"But he shall say, I tell you, I know you not whence ye are; depart from me, all ye workers of iniquity."
36,Ps 8:2,Mt 21:16,"And said unto him, Hearest thou what these say? And Jesus saith unto them, Yea; have ye never read, Out of the mouth of babes and sucklings thou hast perfected praise?"
257,Ps 8:4-6,Heb 2:6-8,"But one in a certain place testified, saying, What is man, that thou art mindful of him? or the son of man that thou visitest him?"
217,Ps 8:6,1Co 15:27,"For he hath put all things under his feet. But when he saith all things are put under him, it is manifest that he is excepted, which did put all things under him."
151,Ps 10:7,Ro 3:14,Whose mouth is full of cursing and bitterness:
147,"Ps 14:1,2,3","Ro 3:10,11,12","As it is written, There is none righteous, no, not one:"
116,Ps 16:8-10,Ac 2:25-28,"For David speaketh concerning him, I foresaw the Lord always before my face, for he is on my right hand, that I should not be moved:"
117,Ps 16:10,Ac 2:31,"He seeing this before spake of the resurrection of Christ, that his soul was not left in hell, neither his flesh did see corruption."
137,Ps 16:10,Ac 13:35,"Wherefore he saith also in another psalm, Thou shalt not suffer thine Holy One to see corruption."
260,Ps 18:2,Heb 2:13,"And again, I will put my trust in him. And again, Behold I and the children which God hath given me."
199,Ps 18:49,Ro 15:9,"And that the Gentiles might glorify God for his mercy; as it is written, For this cause I will confess to thee among the Gentiles, and sing unto thy name."
182,Ps 19:4,Ro 10:18,"But I say, Have they not heard? Yes verily, their sound went into all the earth, and their words unto the ends of the world."
48,Ps 22:1,Mt 27:46,"And about the ninth hour Jesus cried with a loud voice, saying, Eli, Eli, lama sabachthani? that is to say, My God, my God, why hast thou forsaken me?"
71,Ps 22:1,Mr 15:34,"And at the ninth hour Jesus cried with a loud voice, saying, Eloi, Eloi, lama sabachthani? which is, being interpreted, My God, my God, why hast thou forsaken me?"
47,Ps 22:18,Mt 27:35,"And they crucified him, and parted his garments, casting lots: that it might be fulfilled which was spoken by the prophet, They parted my garments among them, and upon my vesture did they cast lots."
109,Ps 22:19,Joh 19:24,"They said therefore among themselves, Let us not rend it, but cast lots for it, whose it shall be: that the scripture might be fulfilled, which saith, They parted my raiment among them, and for my vesture they did cast lots. These things therefore the soldiers did."
258,Ps 22:22,Heb 2:12,"Saying, I will declare thy name unto my brethren, in the midst of the church will I sing praise unto thee."
214,Ps 24:1,1Co 10:26,"For the earth is the Lord's, and the fulness thereof."
95,Ps 31:5,Lu 23:46,"And when Jesus had cried with a loud voice, he said, Father, into thy hands I commend my spirit: and having said thus, he gave up the ghost."
155,"Ps 32:1,2","Ro 4:7,8","Saying, Blessed are they whose iniquities are forgiven, and whose sins are covered."
298,Ps 34:12-16,"1Pe 3:10,11,12","For he that will love life, and see good days, let him refrain his tongue from evil, and his lips that they speak no guile:"
111,Ps 34:20,Joh 19:36,"For these things were done, that the scripture should be fulfilled, A bone of him shall not be broken."
108,Ps 35:19,Joh 15:25,"But this cometh to pass, that the word might be fulfilled that is written in their law, They hated me without a cause."
153,Ps 36:1,Ro 3:18,There is no fear of God before their eyes.
274,Ps 40:6-8,Heb 10:5-7,"Wherefore when he cometh into the world, he saith, Sacrifice and offering thou wouldest not, but a body hast thou prepared me:"
105,Ps 41:9,Joh 13:18,"I speak not of you all: I know whom I have chosen: but that the scripture may be fulfilled, He that eateth bread with me hath lifted up his heel against me."
161,Ps 44:22,Ro 8:36,"As it is written, For thy sake we are killed all the day long; we are accounted as sheep for the slaughter."
254,"Ps 45:6,7","Heb 1:8,9","But unto the Son he saith, Thy throne, O God, is for ever and ever: a sceptre of righteousness is the sceptre of thy kingdom."
146,Ps 51:4,Ro 3:4,"God forbid: yea, let God be true, but every man a liar; as it is written, That thou mightest be justified in thy sayings, and mightest overcome when thou art judged."
148,"Ps 53:1,2,3","Ro 3:10,11,12","As it is written, There is none righteous, no, not one:"
136,Ps 55:3,Ac 13:34,"And as concerning that he raised him up from the dead, now no more to return to corruption, he said on this wise, I will give you the sure mercies of David."
243,Ps 68:18,Eph 4:8,"Wherefore he saith, When he ascended up on high, he led captivity captive, and gave gifts unto men."
106,Ps 69:4,Joh 15:25,"But this cometh to pass, that the word might be fulfilled that is written in their law, They hated me without a cause."
97,Ps 69:9,Joh 2:17,"And his disciples remembered that it was written, The zeal of thine house hath eaten me up."
198,Ps 69:9,Ro 15:3,"For even Christ pleased not himself; but, as it is written, The reproaches of them that reproached thee fell on me."
188,"Ps 69:22,23","Ro 11:9,10","And David saith, Let their table be made a snare, and a trap, and a stumblingblock, and a recompence unto them:"
113,Ps 69:25,Ac 1:20,"For it is written in the book of Psalms, Let his habitation be desolate, and let no man dwell therein: and his bishoprick let another take."
24,Ps 78:2,Mt 13:35,"That it might be fulfilled which was spoken by the prophet, saying, I will open my mouth in parables; I will utter things which have been kept secret from the foundation of the world."
98,Ps 78:24,Joh 6:31,"Our fathers did eat manna in the desert; as it is written, He gave them bread from heaven to eat."
101,Ps 82:6,Joh 9:31,"Now we know that God heareth not sinners: but if any man be a worshipper of God, and doeth his will, him he heareth."
304,Ps 86:9,Re 15:4,"Who shall not fear thee, O Lord, and glorify thy name? for thou only art holy: for all nations shall come and worship before thee; for thy judgments are made manifest."
134,Ps 89:20,Ac 13:22,"And when he had removed him, he raised up unto them David to be their king; to whom also he gave their testimony, and said, I have found David the son of Jesse, a man after mine own heart, which shall fulfil all my will."
6,"Ps 91:11,12",Mt 4:6,"And saith unto him, If thou be the Son of God, cast thyself down: for it is written, He shall give his angels charge concerning thee: and in their hands they shall bear thee up, lest at any time thou dash thy foot against a stone."
79,"Ps 91:11,12","Lu 4:10,11","For it is written, He shall give his angels charge over thee, to keep thee:"
209,Ps 94:11,1Co 3:20,"And again, The Lord knoweth the thoughts of the wise, that they are vain."
262,Ps 95:7-11,Heb 3:7-11,"Wherefore (as the Holy Ghost saith, To day if ye will hear his voice,"
263,Ps 95:7-11,Heb 3:15,"While it is said, To day if ye will hear his voice, harden not your hearts, as in the provocation."
266,"Ps 95:7,8",Heb 4:7,"Again, he limiteth a certain day, saying in David, To day, after so long a time; as it is said, To day if ye will hear his voice, harden not your hearts."
264,Ps 95:11,Heb 4:3,"For we which have believed do enter into rest, as he said, As I have sworn in my wrath, if they shall enter into my rest: although the works were finished from the foundation of the world."
252,Ps 97:7,Heb 1:6,"And again, when he bringeth in the firstbegotten into the world, he saith, And let all the angels of God worship him."
255,"Ps 102:25,26,27","Heb 1:10,11,12","And, Thou, Lord, in the beginning hast laid the foundation of the earth; and the heavens are the works of thine hands:"
253,Ps 104:4,Heb 1:7,"And of the angels he saith, Who maketh his angels spirits, and his ministers a flame of fire."
107,Ps 109:3,Joh 15:25,"But this cometh to pass, that the word might be fulfilled that is written in their law, They hated me without a cause."
114,Ps 109:8,Ac 1:20,"For it is written in the book of Psalms, Let his habitation be desolate, and let no man dwell therein: and his bishoprick let another take."
42,Ps 110:1,Mt 22:44,"The LORD said unto my Lord, Sit thou on my right hand, till I make thine enemies thy footstool?"
68,Ps 110:1,Mr 12:36,"For David himself said by the Holy Ghost, The LORD said to my Lord, Sit thou on my right hand, till I make thine enemies thy footstool."
93,Ps 110:1,"Lu 20:42,43","And David himself saith in the book of Psalms, The LORD said unto my Lord, Sit thou on my right hand,"
118,Ps 110:1,Ac 2:34,"For David is not ascended into the heavens: but he saith himself, The Lord said unto my Lord, Sit thou on my right hand,"
